epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.305,0.21001,2.28434,0.99196,0.71505,0.60079,0.63754,0.61479,0.23638,1.26671,0.45057,0.00018506,0.00018506,0.00018506
2,557.656,0.12567,1.26342,0.91611,0.72937,0.64109,0.71182,0.67108,0.22863,0.98159,0.42139,0.00036306,0.00036306,0.00036306
3,808.434,0.12368,1.12293,0.91031,0.78563,0.62648,0.72083,0.69683,0.26928,0.98619,0.47442,0.00053372,0.00053372,0.00053372
4,1062,0.11928,1.06234,0.91038,0.68915,0.70895,0.75694,0.71868,0.24665,0.8984,0.3992,0.000522974,0.000522974,0.000522974
5,1394.31,0.10323,0.94527,0.89905,0.76557,0.6893,0.75416,0.73811,0.21795,0.71325,0.39535,0.000511965,0.000511965,0.000511965
6,1768.36,0.09512,0.87256,0.89466,0.78874,0.7186,0.78975,0.78602,0.19037,0.67857,0.37135,0.000500956,0.000500956,0.000500956
7,2169.39,0.0909,0.82847,0.89528,0.72181,0.75961,0.80415,0.78261,0.2424,0.67985,0.41486,0.000489947,0.000489947,0.000489947
8,3177.24,0.08618,0.78245,0.89218,0.81751,0.68567,0.7907,0.70757,0.2753,0.78399,0.42051,0.000478938,0.000478938,0.000478938
9,4411.14,0.08104,0.75242,0.89126,0.73901,0.77831,0.8227,0.79934,0.20605,0.58128,0.38704,0.00046793,0.00046793,0.00046793
10,4735.8,0.08035,0.73925,0.89111,0.75684,0.80699,0.83637,0.82355,0.20935,0.6036,0.38683,0.000456921,0.000456921,0.000456921
11,5054.75,0.07453,0.70512,0.88822,0.79879,0.72337,0.81567,0.80764,0.21957,0.62307,0.40423,0.000445912,0.000445912,0.000445912
12,5372.75,0.07365,0.68125,0.88795,0.79926,0.82887,0.84988,0.83828,0.22075,0.52848,0.40709,0.000434903,0.000434903,0.000434903
13,5688.13,0.06978,0.66651,0.88656,0.82222,0.78134,0.8569,0.83648,0.21115,0.55616,0.37934,0.000423894,0.000423894,0.000423894
14,6005.16,0.06841,0.65041,0.88633,0.81735,0.7958,0.85769,0.84641,0.2045,0.52507,0.38694,0.000412886,0.000412886,0.000412886
15,6321.57,0.06699,0.62829,0.88551,0.80095,0.76402,0.8528,0.84141,0.21975,0.52207,0.40872,0.000401877,0.000401877,0.000401877
16,6638.77,0.06527,0.61337,0.88564,0.85268,0.82249,0.87269,0.86081,0.2258,0.42269,0.40648,0.000390868,0.000390868,0.000390868
17,6957.19,0.06412,0.60591,0.88517,0.80396,0.82054,0.86604,0.85179,0.21463,0.4994,0.39729,0.000379859,0.000379859,0.000379859
18,7273.37,0.06157,0.58721,0.88276,0.87411,0.82257,0.87763,0.86045,0.22034,0.45154,0.41066,0.00036885,0.00036885,0.00036885
19,7589.86,0.06093,0.56913,0.88372,0.85095,0.77865,0.86605,0.84757,0.20757,0.46561,0.39215,0.000357842,0.000357842,0.000357842
20,7907.68,0.06056,0.55213,0.8824,0.88643,0.84076,0.88984,0.87953,0.20186,0.43722,0.38175,0.000346833,0.000346833,0.000346833
21,8223.5,0.05827,0.54323,0.88321,0.88885,0.82494,0.88439,0.882,0.19303,0.44491,0.37902,0.000335824,0.000335824,0.000335824
22,8542.46,0.05556,0.5403,0.88094,0.87673,0.83188,0.89144,0.88203,0.21296,0.42299,0.40013,0.000324815,0.000324815,0.000324815
23,8859.29,0.05557,0.52405,0.88128,0.8745,0.83933,0.88449,0.87702,0.1995,0.42485,0.38544,0.000313806,0.000313806,0.000313806
24,9177.86,0.05334,0.51667,0.88077,0.87288,0.85207,0.89379,0.88548,0.19038,0.40744,0.37154,0.000302798,0.000302798,0.000302798
25,9500.63,0.053,0.5055,0.87938,0.88624,0.86024,0.8922,0.88516,0.15331,0.366,0.32723,0.000291789,0.000291789,0.000291789
26,9816.8,0.05188,0.49469,0.88145,0.89614,0.83777,0.9007,0.89353,0.19536,0.42276,0.37846,0.00028078,0.00028078,0.00028078
